Primary Melee Line,Age,Headwear,Body Garment / Leg / Footwear,"Signature Props (Items, Weapons, Shields, Accessories, etc.)",Historical Description
Improved Spearfighter,Iron,"Negau helmet matching the Broad Swordsman, with a short TC horsehair tuft seated in the medial ridge to separate the anti-cavalry line from the melee line.","Assyrian-pattern iron scale corslet over a knee-length TC tunic with a fringed hem, wide TC waist sash, tall laced leather boots. Cool grey iron with brown rust in the recesses.","Iron-headed spear ~2.5m: longer and narrower head than the bronze version, grey steel, dark iron butt-cap. Small round Italic parma shield with a TC face and iron boss - the Bronze Age tier has no shield, so the shield IS the visible upgrade. Iron dagger at the hip.","Same Iron Age cross-culture pairing as the Broad Swordsman, which keeps the whole age visually coherent. The real Iron Age advantage was economic rather than mechanical: iron ore is common in places where tin (needed to make bronze) is rare and had to be traded across continents, so iron let states arm far more men rather than making each individual spear dramatically better. Visually, the whole age should swing from the Bronze Age's warm brown-gold to a cool grey-steel palette with red-brown rust in the recesses. That palette swap is the clearest you-have-advanced-an-age signal available to you, and it costs nothing in polygons."
Hoplite,Classical,"Corinthian helmet: a single hammered piece of bronze covering the entire head and face, with only eye slits and a narrow nose bar. Tall horsehair crest in a crest box, either fore-aft or transverse. Brown-gold bronze kept deliberately bright. TC dyed horsehair crest plus a TC band at the rim. The full-face blank is enormously readable at low poly - lean on it hard.","Bronze bell cuirass - flaring outward at the waist into a bell skirt, with stylized abstract musculature. It is the bolder low-poly shape than a muscle cuirass and is period-correct for the Archaic through early 5th c. BC. (Alternative: linen linothorax with pteruges skirt strips.) Brown-gold bronze. TC exomis tunic beneath, showing at the shoulder and as a short skirt below the cuirass. Bronze greaves sprung onto the calves - no straps needed. Sandals or bare feet.","Aspis / hoplon: deeply DISHED round shield, over 90cm across, bowl-profiled wood core with a bronze rim. Gripped by a forearm band (porpax) at the center plus a cord (antilabe) at the rim - not a fist grip. TC face with one big bold blazon: gorgon head, lion, or a simple geometric device. Doru spear 2-2.4m: ash shaft, leaf-shaped iron head, bronze sauroter. Xiphos short sword (45-60cm leaf blade) or forward-curving kopis on a baldric under the left arm.","Greek hoplite, c. 700-350 BC. The aspis is the defining object: over 90cm across, about 7kg, deeply bowl-shaped, and gripped by an armband at the center rather than a fist grip at the rim - which is precisely what lets it rest on the shoulder and overlap the man to the left in a phalanx. Two myths to avoid: the Spartan lambda was not used before the late 5th c. BC and most city-states had no standard blazon at all, so individual devices or plain faces are more accurate; and the Corinthian helmet probably did not originate in Corinth - it dominates Corinthian pottery because Corinth dominated pottery. Greaves were sprung to the calf and needed no straps until the 4th c. BC."
Pikeman,Medieval,"Morion: rounded skull rising to a point at BOTH front and back, tall fore-aft comb, narrow brim turned up into a peak at each end. Bright steel. TC plume socket at the side plus a TC band. Note: a morion is always OPEN-FACED. If you want a closed face on this unit, what you actually need is a burgonet with a falling buffe.","Steel cuirass (breast and backplate) over a heavy padded gambeson whose sleeves and skirt show below. Tassets - overlapping plate thigh flaps - hanging from the fauld on sliding rivets. Bright polished steel over a TC gambeson, plus a TC sash at the waist or over one shoulder. High leather boots to the knee.","Long spear / pike 4.5-5.5m: plain ash shaft, small steel head, brass langets running down the shaft below the head, and a TC-and-gold tassel where head meets shaft. The tassel and langets give you the fancy read without inventing a fantasy spearhead - keep the head itself small and functional. Sword at the hip.","This is really a 16th-17th c. tercio and Landsknecht pikeman rather than a strictly medieval one, which is the right call for silhouette - a true medieval spearman is far plainer. Helmet distinctions worth having precisely: a MORION has the tall comb with the brim peaked up front and back; a CABASSET is a smooth pear-shaped skull with a small stalk at the apex and a flat narrow brim, no comb; a BURGONET has a peak over the brow, a comb, and hinged cheek pieces. Only the burgonet can be closed-faced. Pikes ran 5-7m at their peak and shortened to 4.3-4.9m by the early 18th c. Front-rank pikemen wore this cuirass-and-tasset harness while rear ranks went much lighter."
Halberdier,Enlightenment,"Burgonet with a falling buffe: comb over the crown, peak over the brow, hinged cheek pieces, and a face plate closing the front. This is the historically real way to get the closed-face look you described - a morion cannot close. Blackened steel with heavy gold-etched bands. TC plume at the comb, TC cheek-piece lining.","Brigandine: small steel plates riveted INSIDE a fabric shell, so the outside shows a dense grid of gilt rivet heads over rich cloth. TC velvet or heavy wool shell, gold rivets in tight rows, gold lace edging. Steel pauldrons with gold etching at the shoulders. Slashed-and-puffed doublet sleeves in TC and gold beneath. Knee breeches, stockings, buckled shoes.","Halberd 2.0-2.5m: broad axe blade one side, straight thrusting spike continuing the shaft line at the top, rear fluke/beak opposite the blade for hooking riders down. Blued steel head with gold etching, brass langets, TC-and-gold tassel at the head. Sword at the hip. No shield.","Brigandine construction IS the visual: 15th-16th c. armor of small oblong steel plates riveted to the inside of a cloth or leather garment, so what shows outside is a pattern of rivet studs - 15th c. examples group rivets in threes, 16th c. examples run them in dense rows, and gilt embossed rivets over velvet were genuinely used for status. Halberd anatomy is fixed by the 15th c.: axe blade, top spike, rear fluke. Two myths to skip: the Vatican Swiss Guard's famous striped uniform was designed in 1914 by Commandant Jules Repond, not in the 16th century and certainly not by Michelangelo. And, again, a morion is open-faced by definition - the burgonet-with-buffe above gets you what you actually wanted."
,,,,,
Primary Ranged Line,Age,Headwear,Body Garment / Leg / Footwear,"Signature Props (Items, Weapons, Shields, Accessories, etc.)",Historical Description
Slinger,Stone,"Plain low hide skullcap with a TC band, or bare-headed with a TC leather headband. Keep the profile low so the sling's arc owns the silhouette.",Bare torso; TC hide loincloth; a leather ammo pouch slung across the body on a strap - the pouch is the unit's read when idle. Bare feet.,"Sling: TWO long braided cords, one ending in a wrist or finger retention loop and the other in a release tab, meeting at a small diamond-shaped leather pouch. It must NOT be a Y-frame slingshot - that is a 19th-century AD invention and the single most common mistake in this weapon. Cords wrap around the wrist when idle. Ammo: rounded river stones 50-200g in the belt pouch. Flint knife. No shield.","Sling-stones appear in the Near East by the 6th millennium BC; the oldest surviving slings are Egyptian plaited flax and bast fiber, c. 2000-1800 BC. Cords were braided rather than twisted, because braid does not stretch and untwist - that is what makes the weapon accurate. River stones were the default ammunition; cast lead bullets (glandes), sometimes inscribed with curses or unit marks, are a later Greek and Roman refinement. Trained slingers, the Balearic mercenaries above all, were serious battlefield specialists with lethal range, not shepherds with a toy."
Archer,Bronze,"Leather cap: close-fitting, low, stitched panels, short neck flap, TC band around the brow. Black tight-curled hair beneath, with a white cloth headband over the cap as an accent.","Bare torso; wrapped linen kilt over a woven belt - natural cream linen with a TC geometric-patterned center flap and hem band, so the flap is where team color lives. Animal-skin and woven-wool mantle over one shoulder for texture. Small leather bracer tied to the left forearm. Metal armbands and a bead collar. Barefoot.","Self bow 1-1.5m: plain wood, double-curved decurved tips. Tapered leather quiver tube with a cap, slung on the back, fletching showing. Bundle of spare arrows held in the off hand for the idle pose. Bronze dagger. No shield.","Egyptian and Nubian archery, New Kingdom, c. 1550-1070 BC - Nubia was literally called Ta-Seti, Land of the Bow. The best surviving visual reference is the 11th Dynasty model army of 40 Nubian archers from the tomb of Mesehti at Asyut (Cairo, JE 30969): red kilts with green geometric patterning and a decorated center flap, black curly wigs, white headbands, anklets and necklaces, all barefoot, each holding a bow in one hand and a bundle of arrows in the other. Small leather wrist bracers have been found still tied to soldiers' arms in mass graves at Deir el-Bahri. The simple self bow was the regular infantry weapon; the composite bow was elite and chariot gear, which is why it belongs to the next tier up."
Improved Archer,Iron,"Tall pointed bronze conical helmet: smooth cone, short neck flap, TC-dyed plume at the tip and a TC band at the rim. This hard pointed cone is the Assyrian signature and separates the tier from the Bronze Age leather cap instantly.","Knee-length TC tunic with a heavy fringed hem and a wide TC waist sash. Iron scale corslet over chest and back ONLY - limbs completely free. Tall laced leather boots to mid-calf. Cool grey iron scale under a brown-gold bronze helmet gives you two distinct metals on one unit, which is a cheap way to make the tier look richer.","Angular composite bow: the limbs meet in a shallow V with reflexed tips that stay curved even at full draw - distinct from a smooth C-curve recurve, and a strong period marker. Quiver on the back with fletching showing, second bow case at the hip. Iron dagger. No shield - though the historical version pairs the archer with a shield-bearer holding a full-height standing pavise, which is a great option if you ever want a paired unit.","Neo-Assyrian archer, 9th-7th c. BC - the most-depicted archer of the ancient world, from the Nimrud and Nineveh palace reliefs. Those reliefs consistently show archers working in two-man teams, with a second soldier holding a tall standing shield for cover while the archer draws. The Assyrian bow descends from the Egyptian angular bow but adds reflexed tips: shorter, more efficient and better suited to chariot and mounted use. Scale armor covered the torso only, worn over a tunic and leaving the limbs free, and the tall pointed bronze helmet is the unmistakable signature of the army."
Composite Archer,Classical,"Pilos: brimless conical FELT cap, undyed cream or TC-dyed, soft-looking with a slight forward lean. Alternative: the Macedonian kausia, a broad flat-crowned felt hat. Keep it soft and brimless so it contrasts with the Iron Age tier's hard metal cone.","Exomis - short tunic with the RIGHT shoulder seam left unpinned to free the draw arm. This is both historically correct for light troops and a great asymmetric silhouette. TC cloth in linen or crimson wool, belted at the waist, hem at mid-thigh. Bare legs, light sandals or bare feet. No armor at all - mobility is the read.","Composite bow: wood core, horn belly, sinew back, deep recurve. Small round shield ~40-50cm SLUNG from a belt at the hip or on the back rather than carried in hand, TC face. Light axe or short xiphos as backup. Hip quiver.","Cretan archers, 5th c. BC onward - the most sought-after light missile troops in the ancient world, hired by Greek city-states, by Alexander, by Rome down to at least 161 AD, and by Byzantium as late as 1453. They fought largely unarmored for mobility, with a small round shield slung on a belt and a light axe for close work. The exomis is a genuine working garment: two rectangles sewn into a cylinder with the right shoulder left open so the arm can move freely. The pilos was the ordinary felt cap of travelers, workmen and sailors; note that the popular idea of a standardized Spartan pilos helmet is not well supported by evidence."
Crossbowan,Medieval,"Chaperon hood in Lincoln green with a long liripipe tail hanging down the back, worn over a small TC coif. The pointed hood plus trailing tail is a strong, instantly readable silhouette and does the Robin Hood job better than the hat does.","Green wool cotehardie to mid-thigh over a TC gambeson body, TC belt with a hanging pouch; hose in a contrasting color; ankle turnshoes. Short green cape or shoulder mantle. Put TC in the tunic field or a bold TC quartering and keep green as the accent, so the Robin Hood read survives team coloring.","Steel-prod crossbow with a foot STIRRUP at the muzzle end and a GOAT'S-FOOT LEVER hooked on the belt for spanning. Bolt quiver: a short boxy belt-mounted case of wood and hide holding a dozen 30-40cm bolts with short leather or wooden vanes - NOT a long arrow quiver on the back. Falchion or dagger at the hip. Optional: tall TC pavise shield with a central ridge, propped on its spike.","One honest note up front: Robin Hood was a longbowman, and the matched green hood-and-tunic uniform is a modern costume convention crystallized by 19th-century illustrators and cemented by the 1938 Errol Flynn film - the medieval ballads do not describe it, and the 18th-c. Robin Hood's Garland actually puts Robin himself in scarlet with his band in green. Lincoln green is real, though: a genuine Lincoln-made dyed wool, woad blue overdyed with weld yellow, named in print from 1510. Hoods with liripipes were universal medieval headwear across every class. The crossbow kit is fully accurate - stirrup and goat's-foot for field troops, windlass or cranequin for heavy siege bows, short belt-box quivers for bolts, and a pavise held by a partner while the shooter reloads. The Genoese crossbowmen lost at Crecy in 1346 partly because their pavises were still back in the baggage train."
Skirmisher,Enlightenment,"Deliberately irregular across the unit - a cut-down tricorne with a TC plume, a jockey cap, or a Scotch bonnet. Use the plumed cut-down tricorne as the hero read: brim trimmed shorter and cocked less crisply than the Musketeer's, so the two silhouettes separate at a glance.","Short green wool coat or sleeved waistcoat, double-breasted, white-metal buttons, cut short and close for movement. GREEN as the base with TC on the facings, cuffs, collar and a TC sash - the exact inverse of the Musketeer, whose whole torso is TC. Green wool leggings buttoned up the outside; moccasins or plain shoes. Blanket roll across the back.","Flintlock firelock, shorter than the Musketeer's. Tomahawk / hatchet at the belt, scalping knife, powder horn slung under the RIGHT arm, leather bullet bag buckled at the waist. No bayonet, no shield. Pose low and half-crouched against the Musketeer's upright drill stance.","Rogers' Rangers, French and Indian War, c. 1755-1763. Documented from deserter advertisements, standing orders and Captain Knox's journal: short green coats or sleeved waistcoats in cheap green Bath Rug cloth with green serge lining and white-metal buttons, green leggings, and - importantly - MIXED headwear, with jockey caps, cut-down hats and Scotch bonnets all recorded rather than a uniform tricorne. Kit was firelock, tomahawk, scalping knife, powder horn under the right arm and bullet bag at the waist. The crisp fringed hunting shirt everyone pictures is real but later and different: that is 1770s Revolutionary War rifleman dress from the Virginia and Pennsylvania backcountry, not Rogers' 1750s green wool. Irregularity is the accurate look here, so vary the unit rather than uniforming it."
,,,,,
Scout Line,Age,Headwear,Body Garment / Leg / Footwear,"Signature Props (Items, Weapons, Shields, Accessories, etc.)",Historical Description
Scout,Bronze,"Simple low leather cap, close-fitting and stitched, TC band; or a folded cloth head-wrap. Nothing metal anywhere on the head.","Sleeveless leather jerkin over a short TC tunic, cut for lightness. Leather belt, bare arms, short leather boots or wrapped foot bindings. Everything trimmed close - no hanging cloth to break the silhouette. Speed should read from the outline alone.","Light wooden javelin/spear with a small bronze or fire-hardened tip. Hide water skin and small pack. No shield, no armor. HORSE: ride bareback or on a simple folded cloth pad - no saddle tree, and NO STIRRUPS (they do not exist yet). Rope halter and simple bit. Rebuild the horse mesh properly: deeper chest, defined croup, real neck crest, mane and tail as flat alpha cards or low-poly geo strips, 8-sided leg tapers.","Bronze Age riders existed only as individual elite messengers and scouts; organized cavalry does not appear until the Neo-Assyrian reliefs of Ashurnasirpal II, 883-859 BC, and even those men ride bareback in pairs with one holding both sets of reins. On the horse size: your instinct to enlarge it is right for gameplay, but worth doing knowingly. Real Bronze Age horses stood about 129-137cm at the withers (12.2-13.2 hands) - pony-sized - and even medieval warhorses were mostly under 147cm. Doubling that gives you a horse larger than any that has ever existed, so scale instead to roughly a modern 15-16 hand riding horse: it reads big and heroic next to the historical pony, keeps the rider in proportion, and stays defensible. Also note stirrups are a Chinese invention (c. 302 AD) that only reach Europe around the 7th-8th c. AD - nothing before the Medieval age should have them."
Elite Scout Cavalry,Medieval,"Open-faced kettle hat (wide-brimmed steel war hat) or a plain conical helm over a mail coif. Open face, so it reads clearly apart from the Knight's closed visor. TC band around the brim, small TC pennon at the crown.","Mail haubergeon to mid-thigh - shorter and lighter than the Knight's hauberk - in matte grey, over a TC quilted gambeson whose sleeves and skirt show. Short TC surcoat with side slits. Mail or cloth chausses, riding boots, prick spurs. Deliberately NO plate anywhere on this unit.","Light lance with a TC pennon - the pennon is the unit's read at distance. Sword at the hip, small heater shield in TC. Alternative Turcopole variant: composite bow and hip quiver instead of the lance. HORSE: no caparison, plain leather harness, TC saddle cloth only. Lighter and leggier than the Knight's mount.","Hobelars and Turcopoles are the real medieval scout cavalry. Hobelars are English and Irish, first documented in 1296 and standard in English forces from about 1300; the 1335 English kit was an aketon or plates, a basinet or open palet helm, gorget and iron gauntlets, riding a small agile Irish hobby of 12-14 hands. Robert the Bruce used them for raids of 60-70 miles a day. Turcopoles served the Crusader States from 1096 to the fall of Acre in 1291: quilted gambeson rather than mail, conical helmet, lance and composite bow, on lighter local horses. Either way the read is identical - visibly lighter and leaner than a knight, no plate, no heraldic horse cloth, smaller mount."
,,,,,
Heavy Cavalry Line,Age,Headwear,Body Garment / Leg / Footwear,"Signature Props (Items, Weapons, Shields, Accessories, etc.)",Historical Description
Chariot,Bronze,Crew: linen headband or a short striped cloth head covering with a TC band; bare-headed with a black wig is equally correct. Keep both crewmen's heads low-profile so the chariot itself owns the silhouette.,"Crew: pleated natural-linen kilt over a TC sash, bare torso with a broad beaded collar, leather cross-straps on the archer for the quiver rig. Sandals or bare feet. Deliberately UNARMORED - the light chariot is a speed platform and armor was rare.","Two-horse light chariot. SIX-SPOKE wheels (four-spoke on early examples). Axle set at the EXTREME REAR of the cab - that is the distinctive Egyptian trait, it widens the stance and reads fast. D-shaped open cab of bent-wood frame with stretched WOVEN-LEATHER MESH sides and a woven leather strip floor; no seat, both crew stand. Central draft pole curving up to a yoke bar across both horses' necks. Two crossed leather quiver cases (arrows plus bow case) mounted outside the cab in TC. Crew of two: driver with reins, archer with composite bow. TC on cab panel, quiver cases and horse plumes.","Egyptian New Kingdom chariot, c. 1550-1070 BC, 18th-20th Dynasty - the best silhouette available for this slot. Wheels went from four spokes in the early 18th Dynasty to a standard six by Thutmose III; Tutankhamun's surviving chariots are six-spoke. The rear-set axle is the diagnostic Egyptian feature and it made a wide, stable shooting platform. The Hittite alternative carried three men (driver, shield-bearer, spearman), set the axle at the center, and was correspondingly heavier and slower - use that design if you ever want a heavy chariot variant. The cab was bent wood covered in woven leather mesh rather than solid panels, which flexed as suspension. Crew of two, both aristocrats: the kedjen drove, the menyt shot."
Heavy Cavalry,Iron,"Tall pointed bronze conical helmet with a short neck guard and hinged flaps. TC plume or crest at the apex, TC band at the rim.","Iron or bronze scale corslet over a knee-length TC tunic with a fringed hem; wide TC sash; tall laced leather boots. TORSO ARMOR ONLY - arms and legs bare or cloth-covered. Trim, banded and angular; nothing should hang loose.","Long thrusting spear/lance held OVERHAND (no stirrups means no couched charge), plus a composite bow and hip quiver; akinakes short sword at the belt. Optional small round shield in TC. HORSE: completely UNARMORED - this is the critical visual contrast against the Cataphract. Saddle CLOTH only, fringed and TC-patterned, with no saddle tree; bridle with decorative bronze bosses; forehead plume. No stirrups.","Neo-Assyrian and Median cavalry, 8th-7th c. BC. The evolution is easy to show on screen: 9th-century Assyrian riders are unarmored, bareback, and work in pairs with one man holding both sets of reins while the other shoots. By the time of Sargon II and Sennacherib, riders control their own mounts, sit on saddle cloths, and wear scale corslets like the infantry. Crucially the horse itself stays unarmored throughout - keep it that way, because that is exactly what makes the Classical-age Cataphract land as a genuine upgrade rather than a reskin. And no stirrups: they do not reach the Near East until roughly the 7th-8th c. AD, so the rider grips with the legs and the seat reads more forward and upright."
