"Stone Age","Historical Description"
"Farm","Egyptian basin irrigation, New Kingdom. Crisscross earthen levees divide the floodplain into basins that fill from the Nile flood and drain one into the next. The shaduf - a counterweighted lever with a bucket on a rope, in use by the New Kingdom - lifts water to higher ground and is the single most readable animated prop you can give this building. Add a threshing floor, a nilometer (a stepped stone staircase for gauging flood height), and rows of emmer wheat and barley."
"Archery Range","FLAG: no purpose-built archery range exists this early. The earliest documented archery training structures are medieval English butts - earthen mounds supporting targets. For the Bronze Age, build it as an open training ground: a mudbrick equipment shed with a shade canopy, a bow-maker's bench with staves and horn strips, straw bale targets on wooden frames, and a line of firing marks. Plausible and useful even though it is not archaeologically attested."
"Stable","Piramesse at Qantir, Ramesses II's military capital, c. 1279-1213 BC - the best-documented Bronze Age stable complex anywhere, with roughly 460 horse tether points, each paired with a small cistern that doubled as a drain to keep the stalls dry. Model it as a long mudbrick range with an open colonnaded stall run, tether posts, floor cisterns, and chariots parked under an awning alongside. Note that Megiddo's famous pillared stables are Iron Age (early 8th c. BC), so do not borrow that design here."
"Watch Tower","The migdol - the Egyptian and Semitic term for a fortified watch-post, from an Akkadian root meaning to watch. Seti I's Karnak reliefs show a chain of migdol forts along the Ways of Horus military road across Sinai, c. 1290s BC. Construction detail is poorly preserved, so keep it simple: a square mudbrick tower on a battered (sloping) base, two or three stories, crenellated parapet, external stair or ladder, and a beacon brazier on top."
"",""
"Iron Age","Historical Description"
"Town Center","Dur-Sharrukin, Sargon II's planned Assyrian capital, 717-707 BC - roughly a square mile behind seven gated walls, with a separately walled citadel holding the palace and the Nabu temple. Mudbrick construction faced with carved stone reliefs and glazed brick, flat roofs, and colossal lamassu (winged human-headed bulls) flanking the gates. The lamassu is the silhouette: nothing else in your building set will read like a pair of monumental guardian figures standing in a doorway."
"House","Assyrian mudbrick courtyard house, c. 900-600 BC - rooms wrapped around a central open courtyard, blank and largely windowless walls facing the street, flat roofs used as living space, mudbrick on a stone footing. The Celtic alternative for a European skin is the roundhouse, c. 800 BC-100 AD: timber post ring, wattle-and-daub or stone walls, 45-degree conical thatch, 5-15m across. Pick one per faction skin - the courtyard box and the thatch cone are opposite silhouettes and should not be mixed in one settlement."
"Storage Pit","Iron Age Britain gives the clearest pair, and both are found together at hillforts like Danebury. The four-post granary: a small timber platform raised on four or six posts to hold the floor above ground and rodent level. And bell-shaped storage pits cut into chalk or clay and sealed with an airtight clay cap, where the outer grain layer ferments and preserves the core beneath. The raised box on stilts is the readable silhouette; scatter capped pits and their clay lids around its base."
"Barracks","FLAG: no dedicated Iron Age barracks building is confirmed anywhere. Assyrian reliefs show campaign tent camps rather than permanent structures, and Celtic warriors were housed in the chief's hall. The most defensible build reuses the Bronze Age Egyptian fortress template: a mudbrick range of repeating three-room units under a flat roof line, with a colonnaded drill porch, spear racks and a smith's lean-to at one end."
"Farm","Roundhouse plus four-post granaries plus storage pits, set inside enclosed Celtic field systems - small rectangular plots bounded by lynchets and earth banks, which give you a strong readable ground pattern around the building. In the Near East, basin irrigation continues, with serious canal engineering appearing under Sennacherib in the 7th c. BC. Add an ard (scratch plough) drawn by oxen and a hand quern by the door."
"Archery Range","Still no attested built range this early - training was informal open-ground practice. Build it as a fenced compound with a timber equipment shed, composite bow-making racks with horn and sinew drying, straw butts on posts, and spent arrows scattered downrange. Assyrian reliefs do give you one authentic detail worth using: the tall standing pavise shield a second man held while the archer shot - prop a few of those against the fence."
"Stable","The Megiddo stables, Stratum IVA, early 8th c. BC, Kingdom of Israel - commonly and wrongly called Solomon's stables, they postdate him by well over a century. Two identical square pillared courtyards, each 120 by 120 Assyrian cubits, holding five stable units apiece: a central aisle with side aisles divided by stone pillars, lime-plastered floors, cobblestone aisles, an attached grain silo, and a four-chambered gate. The row of stone pillars with tethering holes bored through them is the signature detail."
"Watch Tower","A continuation of the migdol tradition, plus the small agricultural watchtower set in vineyards and fields that the Biblical migdal describes (Isaiah 5:2). Build the military version in mudbrick or fieldstone - square, three stories, crenellated top, beacon basket - and the rural version as a simple stone cylinder with a ladder. Iron Age Levant."
"Siege Workshop","FLAG: no fixed siege workshop existed. Assyrian siege trains were assembled in the field, on earthen ramps built against the target city's wall, by engineers using timber carried along or cut on site. The honest build is a carpenter's yard rather than a factory: an open timber-framed shed with a shingle roof, sawpits and trestles, stacked beams and hide bundles, a rope walk, a half-finished ram housing on blocks, and wheels leaning against the posts."
"Blacksmith","An ancient forge, and the details are well established. A clay- or stone-lined hearth with air forced in through a clay tuyere by bag or pot bellows; a simple rectangular or circular iron anvil block set in a stump - the horned anvil with a hardy hole is a later medieval refinement, so leave it out here; a water quench trough; and separately a bloomery, a clay or stone shaft furnace that smelts ore into a spongy bloom before the smith ever touches it. Team of four: smith, striker with the heavy hammer, bellows-hand and apprentice. Open-sided under thatch or shingle so the forge glow reads at night."
"Wood Walls","Murus gallicus, the La Tene Celtic rampart Caesar describes in the Gallic Wars, 2nd-1st c. BC and excavated at Manching, Bibracte and Otzenhausen. Timber beams up to 12m long laid lengthwise, pinned crosswise with iron spikes at regular intervals, the front face fronted with stone and the interior packed with earth, repeated in courses to full height. The result looks like a stone wall but is timber-cored - which is exactly why it resists battering rams better than dry stone, and exactly why Caesar burned through it. Show the beam ends and spike heads on the face; that is the whole read."
"Wood Gate","A gap in the murus gallicus rampart flanked by two timber towers on stone footings, with an inturned entrance passage forcing attackers into a killing corridor - the standard Celtic oppidum gate arrangement. Heavy oak leaf doors with iron strapping, a timber fighting platform over the passage, and a walkway linking the two towers. Weathered grey-brown oak, dark iron fittings."
"",""
"Classical Age","Historical Description"
"Town Center","The Roman forum with its basilica. The forum is an open rectangular plaza ringed by colonnades, with temples, the curia and the basilica opening onto it. The basilica is the building to model: a long rectangular hall with a nave and flanking aisles, an apse at one or both ends housing the magistrate's tribunal, and a two-tier roof - higher over the nave with a clerestory of windows, lower over the aisles. Stone and concrete, timber-truss roofed originally and concrete-vaulted in the grand late examples. First basilica 184 BC; the Basilica of Maxentius (80x25m, 35m tall) is 4th c. AD."
"House","Two Roman types, both useful. The insula: a brick and concrete apartment block up to five or six stories, timber floors, ground-floor tabernae (shops) opening to the street through wide arched doorways, few windows above, and a real fire risk from the timber and wattle upper stories. The domus: a single-story courtyard house with an atrium whose roof opening (compluvium) drains into a catch-basin (impluvium), a peristyle garden behind, painted plaster walls and a tiled roof. Use insulae for density and the domus for the wealthy quarter. 2nd c. BC-4th c. AD."
"Storage Pit","The horreum, the Roman granary and warehouse. Walls up to a metre thick for fire resistance and security; floors raised on short pillars (suspensurae) so air circulates underneath and damp never reaches the grain; narrow high windows sized to deter theft rather than to ventilate; and ramps instead of stairs so cargo can be wheeled straight in. Blocky utilitarian ranges around a courtyard. The first public example is 123 BC under Gaius Gracchus; the Horrea Galbae in Rome ran to roughly 225,000 square feet."
"Barracks","Roman legionary barracks inside a castrum, 1st-4th c. AD. The fort is a rectangle with rounded corners - the playing-card plan - on a street grid built around the via principalis and via praetoria. Barracks are long rows of paired rooms: each contubernium of eight men shares one unit, with a front room (arma) for gear and a rear room (papilio) for sleeping, and the centurion's larger quarters closing the end of each block. Timber in early forts, stone in permanent ones, tile roofs throughout. This is the first genuinely purpose-built barracks in your entire tech tree, and it is worth making it look organized and relentlessly repetitive to sell that."
"Farm","The villa rustica, 2nd c. BC-4th c. AD, found across Italy, Gaul, Britain and Dalmatia. It is a two-part estate under one plan: the pars urbana, the owner's residence with higher finish and sometimes mosaic floors and opus reticulatum facing, and the pars rustica, the working half with barns, olive and wine presses, stables and workers' quarters. Stone or concrete walls, tegula-and-imbrex tiled roofs. Show both halves and the seam between them - that contrast is the building's whole character."
"Archery Range","Still no attested purpose-built range; Roman missile training used the open exercise ground (campus) beside the fort, with wooden posts (pali) for weapons drill. Build it as a walled exercise yard: a tiled-roof equipment portico, bow racks, straw-and-wicker targets on frames, drill posts, and a covered gallery for shooting in bad weather. The covered gallery is a reasonable inference from Roman military practice even though no range building survives."
"Stable","In the Roman army stables were generally integrated into cavalry barracks rather than standing alone - a stable-barracks hybrid where horses were stalled in the rear rooms and troopers quartered in the front. For a standalone building, use the villa rustica's stable range: a long stone building with a tiled roof, an open stall run divided by timber partitions, tack rooms, a water trough along the front and a hayloft above."
"Watch Tower","The burgus, a small fortified tower strung along the limes frontier and its roads, 1st-4th c. AD. Timber or stone, one to three stories, square, garrisoned by a handful of men, with a signal beacon on top - a chain of them relayed messages along the frontier faster than any rider could carry them. Stone version: ashlar base, small arched windows, a projecting timber fighting gallery at the top, tile roof."
"Siege Workshop","The fabrica, the Roman military workshop - and unlike every earlier age, this one is real, permanent and well evidenced. Legionary fortresses contained dedicated production and repair shops (a fabrica scutaria, or shield workshop, is attested at Carnuntum). The confirmed example is at Inchtuthil in Scotland: 3,500 square metres inside a fortress built in 82-83 AD and evacuated only four years later. Build it as a large courtyard building with tiled roofs, open-sided working bays, forges venting smoke, timber stacks, a bolt-thrower on trestles mid-assembly, and finished shields racked in rows."
"Blacksmith","Housed within the fabrica in a military context, or a standalone taberna in a town. Charcoal hearth with bellows, a simple rectangular or circular iron anvil block (still not a horned anvil), a quench trough, and a team of smith, striker and bellows-hand. The Roman upgrade over the Iron Age forge is scale and organization rather than technique: standardized output, racks of identical finished pieces, a tiled roof instead of thatch, and a paved floor."
"Wood Walls","A timber palisade on an earth rampart with a V-profile ditch in front - the standard Roman marching-camp defense, thrown up fresh every single night on campaign, with each legionary carrying his own stakes for the purpose. Sharpened stake tops, a continuous earth bank behind, and a walkway. Neat, regular and engineered, in deliberate contrast to the Iron Age murus gallicus's rough beam-and-stone face."
"Wood Gate","The camp gate: a gap flanked by two timber towers, with the rampart ends overlapping to force an angled approach (the clavicula), so attackers expose their unshielded right side as they turn in. Heavy oak double doors with iron strapping, a fighting platform bridging the towers, and a unit standard or vexillum mounted above the passage."
"Temple","A Greek or Roman temple on a raised podium with a columned portico, pedimented gable end and tiled roof. The order determines the whole read, and it is easy to get right - look only at the capital. A plain convex cushion with no base under the column is DORIC: stocky, height about 4-8 diameters, 20 shallow flutes, and a frieze alternating triglyphs and metopes. Paired scroll volutes with a column base is IONIC: about 9 diameters, 24 flutes, continuous carved frieze. A bell of acanthus leaves with corner scrolls is CORINTHIAN: about 10 diameters, the most ornate. Doric is the boldest at low poly; Corinthian is the clearest visual upgrade if the building tiers."
"Guard Tower","A stone mural tower built into the city wall circuit at intervals, projecting outward so defenders can shoot along the wall face - the flanking principle every later fortification is built on. Ashlar or concrete faced with brick, two to three stories, arched embrasures, and a bolt-thrower (scorpio) on the top platform under a tiled roof. Larger and permanently garrisoned, in contrast to the isolated burgus watchtower."
"Stone Walls","Mortared ashlar or concrete curtain walls faced with brick or cut stone, with a wall-walk behind a parapet and projecting towers at regular intervals for flanking fire. The Roman contribution here is engineering rather than height: mortar and concrete let walls stand thinner, straighter and far longer than dry stone ever could. Under the Pax Romana city walls became as much a display of imperial power and civic status as an active defense, so they can afford to look decorative."
"Stone Gate","The Porta Nigra at Trier, built after 170 AD, is the reference - twin four-story towers projecting as near-semicircles flanking a double gate passage, built of grey sandstone ashlar blocks held with iron and lead cramps and no mortar, deliberately monumental with rusticated, unfinished block faces. An inner courtyard between the outer and inner gates traps attackers between two sets of doors. This is the most impressive-looking building in the Classical set; treat it as a showpiece."
"",""
"Medieval Age","Historical Description"
"Town Center","A stone keep - the White Tower in London, built 1075-1100, is the archetype: a massive rectangular tower 36 by 32m and 27m tall, coursed ashlar in Kentish ragstone with Caen stone dressings, walls thick enough to hold stairs and chambers inside them, small high windows, square corner turrets with one round stair turret, and a forebuilding covering the entrance stair at first-floor level. The earlier motte-and-bailey (Normandy c. 979-1040, England after 1066) is the cheaper predecessor: an earth mound 3-30m tall carrying a timber keep and palisade, with a palisaded bailey courtyard alongside holding the hall, kitchens, chapel, stores and stables."
"House","The timber-framed jettied townhouse. An oak box frame with wattle-and-daub or brick infill panels, and - the defining feature - jettying: the upper floor's joists cantilever out past the wall below on a bressummer beam, with diagonal dragon beams turning the overhang at the corners, so each story projects further than the one beneath it. Ornamented corner posts and brackets, steep tiled or thatched roof, tall chimney. That stepped overhang is one of the most readable silhouettes in the entire game. Medieval technique, popularized in the 16th c.; banned in Rouen in 1520 and in London in 1667 after the Great Fire."
"Storage Pit","The tithe barn - a monastic or manorial estate barn for the grain tithe, and one of the great buildings of the age. The 14th-c. barn at Bradford-on-Avon is the model: high-quality ashlar masonry walls under an enormous cruck-framed timber roof, with massive opposed wagon doors on both sides so a loaded cart drives straight in and the draft between the open doors winnows grain on the threshing floor. Aisled interior, stone-slate or thatch roof. Cathedral-scale inside; from outside it is a long, steep, dominating roof mass."
"Barracks","FLAG: there is no medieval barracks. The word and the building type only appear in the late 17th c. (first English use 1669). Medieval garrisons lived in the keep, in bailey halls, in gatehouse chambers, or were billeted on the town. Build it as a bailey hall and guardroom instead: a long timber-framed or stone hall with a central hearth, trestle tables, straw pallets along the walls, arms racks, and a small stone guardroom by the gate. Honest to the period and still instantly reads as where the soldiers are."
"Farm","A manorial farmstead - timber-framed barn and byre around a muddy yard, a dovecote, a granary raised on staddle stones, a fenced toft and croft, and open strip fields beyond worked on a three-field rotation. The heavy mouldboard plough with a coulter, drawn by an ox team and capable of turning heavy wet northern clay soils that the old scratch ard could not, is the real medieval agricultural advance and the right prop to feature prominently."
"Archery Range","This is finally the genuine historical article. English butts are earthen mounds supporting targets, and archery practice was legally mandated - Henry VIII's Act concerning shooting in long bows required men to keep a bow and shoot at the butts, and many English towns still have a district called The Butts. Build it as a long fenced green with a pair of turf butt mounds at either end, roundel targets, a bowyer's and fletcher's timber-framed shed with bow staves, goose feathers and glue pots, and archers at the shooting line."
"Stable","A long timber-framed or stone building in the castle bailey or beside the inn: a stall run divided by timber partitions, a cobbled and drained central aisle, a hayloft above reached by an external ladder or pitching door, a tack room, and a mounting block and water trough outside. Steep tiled or thatched roof. Not an architecturally distinct type - it is one of the standard bailey buildings, so match its material to the castle it serves."
"Watch Tower","A freestanding stone tower for observation and beacon signaling with a minimal garrison - a peel tower or bastle on a border, or a simple round or square tower on a hilltop. Two to three stories, a ground-floor store with no external door, an entrance at first-floor level reached by a removable ladder, arrow loops, a crenellated parapet and a beacon basket on top. Worth knowing: watchtower and guard tower were not two separate medieval building types - the distinction is functional, and real castles used mural towers for both roles interchangeably."
"Siege Workshop","FLAG: no standing siege workshop existed. Trebuchets and mangonels were built on site during a siege by army carpenters using local timber, then abandoned or dismantled afterward. The closest real permanent structure is the castle's own bailey carpentry shop and smithy for routine maintenance. Build it as a carpenter's yard: an open timber-framed shed with a shingle roof, sawpits and trestles, a rope walk, stacked beams and iron strapping, a half-assembled trebuchet arm resting on blocks, and finished wheels and axles leaning against the posts."
"Blacksmith","A timber-framed or stone smithy with a wide open front so the forge glow spills into the street. Charcoal or coal hearth with a great bellows, and a HORNED ANVIL on a timber stump - this is the age the horn and hardy hole appear, so it is a genuine detail upgrade over the ancient anvil block and worth modeling. Quench trough, tool wall, and a farrier's area outside with a hoof stand and horseshoes hung on the wall. Coal begins replacing charcoal in ironworking regions from the 13th c."
"Wood Walls","A timber palisade of split logs sharpened at the top, set in a trench on an earth bank with a ditch outside, and a walkway with a breastwork behind - the bailey defense of a motte-and-bailey castle and of any hastily fortified town. Show the palisade as VERTICAL logs, in contrast to the Iron Age murus gallicus's horizontal beam ends, so the two ages separate at a glance."
"Wood Gate","A timber gate tower straddling the palisade: oak leaf doors with heavy iron strapping and a drawbar, a covered fighting platform above with hoarding boards projecting out over the face to allow dropping onto attackers at the wall base, and a simple ditch bridge that is removable or pivoting rather than a proper chained drawbridge."
"Temple","A parish church or abbey - and the style tells the player the era at a glance. ROMANESQUE (c. 1000-1150): round arches, thick walls, small windows, barrel and groin vaults, massive cylindrical piers, squat towers - heavy and dark. GOTHIC (from Saint-Denis in 1144 through c. 1500): pointed arches, ribbed vaults, and flying buttresses that carry the vault thrust outside the building, which is what lets the walls go thin and the windows go enormous - plus tall spires, tracery and stained glass. If you want the Temple to visibly upgrade within the Medieval age, that Romanesque-to-Gothic shift is the cleanest way to do it."
"Guard Tower","A mural tower built into the curtain wall circuit, projecting outward so archers can cover the wall face. Round in the later castles - round towers deflect missiles and resist undermining far better than square corners, which is a real engineering reason for the shape change. Three to four stories, arrow loops at each level, crenellated top, often machicolations. Ashlar or rubble core with dressed stone at the openings, timber floors, and a spiral stair built into the thickness of the wall."
"Castle","A concentric castle of the Edward I generation, late 13th c. - the high point of pre-gunpowder fortification. Two rings of curtain wall with the inner rising above the outer so both can shoot at once, round mural towers at the angles, a great twin-towered gatehouse as the primary strongpoint (by this period the gatehouse, not the keep, is the strongest part of the castle), a moat, and a great hall, chapel and kitchens in the inner ward. Machicolations project on corbels with floor slots to drop objects straight down at the wall base - first built by the Romans on the Limes Arabicus in the 4th c. AD, then reintroduced to Europe after the Crusades."
"Market","A market cross and market hall. The cross is a stepped stone base with a shaft, marking the town's chartered right to hold a market, sometimes later roofed over into an octagonal canopy. The hall is the better building: an open arcaded or colonnaded ground floor serving as the trading floor - timber posts or stone piers, no walls - with an enclosed upper room used as the town hall, guild room or grain store, under a tiled or stone-slate roof. Dress it with awnings, trestle stalls, barrels and a weighing beam."
"Fortified Walls (replaces stone walls)","Full mortared stone curtain walls linking mural towers, with a wall-walk behind a crenellated parapet of alternating merlons and crenels, arrow loops through the merlons, and machicolations on corbels at the most exposed stretches. A sloping stone batter at the base deflects objects dropped from above onto attackers and defeats mining and ram work. Tall and thin is CORRECT for this age: height beats ladders, and every siege answer available is still muscle-powered."
"Fortified Gate (replaces stone gate)","The twin-towered gatehouse, the strongest point of a late medieval castle. A vaulted passage between two projecting drum towers, closed by an iron-shod oak portcullis dropping in vertical stone grooves, with murder holes in the vault above, arrow loops covering the approach, a drawbridge on chains over the moat, and the porter's and guard chambers built into the towers. Often two portcullises with the passage between them serving as a deliberate trap."
"",""
"Enlightenment Age","Historical Description"
"Town Center","A Georgian civic building or town house - symmetrical brick facade, even rows of sash windows, a central pedimented doorcase, dentil cornice, hipped or gabled slate roof and paired chimneys at the gable ends, all on classical Palladian proportion. 1714-1830s, Britain and the American colonies. This is the first building in your entire tech tree designed primarily to look ordered and rational rather than to survive a siege, which is the whole story of the age in one silhouette."
"House","Georgian and colonial housing - brick or clapboard, symmetrical about a central door, sash windows in regular bays, a modest classical doorcase, slate or wood-shingle roof with a dentil cornice, and chimneys at both gable ends. Simple, repeatable, and easy to vary by material and window count to get visual density across a town without new models."
"Storehouse (replaces storage pit)","A multi-story brick or stone warehouse: load-bearing walls, small regularly spaced windows, a loading door on every floor at the gable end served by an external hoist beam and pulley, slate or tile roof. The logic is identical to the Roman horreum - fire safety and security prioritized over ventilation and light - just executed in brick with an 18th-century hoist. The dock warehouses at Liverpool and Bristol are the reference, and the hoist beam projecting from the gable is the readable detail."
"Barracks","The first purpose-built barracks in the whole progression, and a genuine historical milestone. Berwick-upon-Tweed Barracks, designed by Nicholas Hawksmoor and built 1717-1721, was England's first: 600 soldiers and 36 officers, replacing the older practice of billeting troops in taverns and private houses. Multi-story stone or brick ranges arranged around a central parade square, paired-room company quarters repeating along each floor, separate mess and latrine blocks, and a formal pedimented gate. Regular, institutional and rectilinear - the visual opposite of the medieval bailey hall."
"Farm","An agricultural-revolution model farm. The threshing barn is the signature building: a large aisled barn with opposed wagon doors deliberately aligned to the prevailing wind, so the through-draft winnows chaff from grain on a timber threshing floor, with a raised granary loft above. Around it, planned enclosure-era ranges - cattle byres, field barns, stable and cart shed around a yard. Andrew Meikle's threshing machine of 1786 is the mechanization worth hinting at with a horse-gin roundhouse attached to the barn end."
"Archery Range","FLAG: by this age archery is militarily obsolete, replaced entirely by the flintlock musket. If the building persists for gameplay continuity, reskin it as a musketry range: a brick equipment store and armory, a covered firing line under a shingle roof, an earth backstop butt, target frames, a powder and ball store, and cleaning benches. Keeping the old turf butts in the corner as a decorative sporting range is a nice historical wink and costs nothing."
"Stable","A brick or stone stable range with a slate roof and a cupola or clock over the central archway - the Georgian estate stable block was an architectural showpiece in a way no earlier stable ever was. Loose boxes and stalls off a cobbled aisle, tack and harness rooms, a hayloft above with a pitching door, a carriage house alongside, and a cobbled yard with a mounting block and pump."
"Watch Tower","A masonry signal or coastal tower - squat, thick-walled, round or square, with a deliberately low profile designed to survive artillery rather than to loom over the landscape. Gun platform on top behind a parapet, entrance at first-floor level, small magazine below, and a signal mast or beacon. The Martello tower pattern (slightly later, from 1805) is where this logic ends up: a thick round masonry drum with a single gun on a traversing carriage."
"Foundry (replaces siege workshop)","A cannon foundry - brick or stone sheds housing a reverberatory furnace, a casting pit where guns were cast solid and then bored out on a horizontal boring machine, and a proof yard outside for test-firing. Tall brick chimneys, a crane gantry over the casting pit, charcoal and ore stacks, and finished barrels racked in rows in the yard. The Royal Arsenal at Woolwich, established 1671 and expanded through the 18th c., is the model, with brick ranges around courtyards. This is the first building in the entire set that is recognizably industrial, and it should feel like it."
"Arsenal (replaces blacksmith)","A walled arsenal precinct rather than a single smithy - storehouses, an armory, workshops, a rope walk and a powder magazine inside a defended enclosure, usually with a wharf. Brick ranges around courtyards, regular window bays, and a formal gate with the royal arms carved above it. Dress the yard with racks of muskets, stacked shot pyramids, and gun carriages under an open shed."
"Wood Walls","A palisade or stockade with a sloped earth bank behind, now serving as a colonial frontier or field defense rather than a serious fortification - sharpened logs, a firing step, and corner blockhouses of squared timber with an overhanging upper story and loopholes. Against artillery this is completely obsolete, which is exactly why it is the cheap early wall of the age."
"Wood Gate","A timber gate in the stockade flanked by two blockhouses: heavy braced plank doors, a drawbar, a firing platform above, and a flagstaff. Squared and pegged timber construction rather than the medieval palisade's rough split logs, so the two ages read differently even at the cheap tier."
"Temple","A Wren-style or colonial meetinghouse church - a rectangular brick or stone preaching hall with round-arched or Palladian windows and a classical portico, topped by a tall steeple built as tiered classical stages in lead-sheathed timber, tapering to a spire. Christopher Wren's post-1666 London churches (1670s-1700s) set the pattern and it carried straight into colonial America. The tiered steeple is the tallest and most readable silhouette in the whole age."
"Guard Tower","A bastion-mounted gun position rather than a tower: a low masonry platform with embrasures for cannon, a thick parapet, an expense magazine below, and a sentry box at the salient angle. If you need vertical read for gameplay, add a slender timber lookout mast with signal flags - going tall in stone here would contradict everything the age's fortification is about."
"Bastion (replaces castle)","The star fort, or trace italienne - and the shape is worth understanding, because it is a direct engineering answer to gunpowder rather than a style choice. Medieval walls were tall and thin to defeat ladders, but that shape shatters under cannon fire. After Charles VIII's mobile artillery breached Italian medieval walls in hours during the 1494 invasion, Italian engineers flattened and thickened the walls and backed the masonry with earth cores, because packed earth absorbs a cannonball's energy instead of shattering. Low walls are easy to climb, so the trade is firepower for height: diamond-shaped bastions at each corner replace round towers, eliminating dead ground and letting defenders sweep every wall face with overlapping musket and cannon fire. A sloped earth glacis in front of the ditch absorbs shot and denies attackers a direct sightline. Originated in Italy in the early-to-mid 1400s, matured in the 1490s-1500s, spread across Europe in the 1530s-40s; Palmanova (1593) is the textbook plan."
"Market","A market house or exchange - an open arcaded ground floor as the trading piazza with an enclosed assembly room above, under a hipped roof with a cupola or lantern, often fronted by a classical portico. Charleston's Exchange (1767-1771) is the reference: Flemish-bond brick, a cellar, an open arcaded ground floor and a grand assembly room above, hipped roof with a parapet and a lead-coated cupola. Exactly the same open-below, enclosed-above logic as the medieval market hall, now dressed in classical architecture - which makes it a great visual upgrade of the same building."
"Fortified Walls (replaces stone walls)","Low, thick earth-and-masonry ramparts on the bastion system: a masonry revetment face backed by a deep earth core, a broad terreplein on top wide enough to work guns, a parapet with embrasures, a ditch, and a sloped glacis rising to the covered way. Height is deliberately minimal. If your walls still look tall and crenellated in this age, the age has not visually landed - the drop in height IS the upgrade."
"Fortified Gate (replaces stone gate)","A gate through the rampart on the bastion system, reached across the ditch by a bridge with a removable or drawbridge span, set in a stone-faced passage with a classical or rusticated portal - often the only decorative masonry on the whole enceinte, carrying the royal arms and a date stone. Guard rooms flank the passage. Note the siting rule: the gate always goes in a curtain wall face covered by the fire of two adjacent bastions, never in a bastion itself."
